college_id,college_name,division,district,address,coordinates_lat,coordinates_lng,website,contact_phone,contact_email,establishment_year,college_type,ug_programs,pg_programs,degree_names,course_durations,eligibility_criteria,cutoff_details,medium_of_instruction,facilities,hostel_available,hostel_fee_range_inr,library_details,lab_details,sports_available,fees_annual_range_inr,career_paths_private,career_paths_government,entrepreneurship_options,higher_education_options,data_source
KMR-001,Amar Singh College,Kashmir,Srinagar,"Gogji Bagh, Srinagar",34.073,74.808,https://amarsinghcollege.ac.in,0194-2311674,principal@amarsinghcollege.ac.in,1940,General Degree,Yes,Yes,"BA, B.Sc, B.Com, BCA",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Science labs, Computer labs, Sports",No,,Central library,Science/IT labs,Yes,"₹5,000-₹8,500","IT support, retail, corporate","JKSSB Teacher/Clerk, Police","Tutoring, services","MA, M.Sc, M.Com, MCA",J&K Higher Education Department
KMR-002,S.P. College,Kashmir,Srinagar,"MA Road, Srinagar",34.084,74.797,,0194-2476828,spcsgr1905@gmail.com,1905,Science College,Yes,Yes,"B.Sc, B.Sc IT, Biotech",3 years,"10+2 Science, 50% minimum",Merit-based,English,"Library, Advanced labs, IT labs, Sports",Limited,,Large STEM library,Physics/Chemistry/Bio labs,Yes,"₹6,000-₹9,000","Lab/QA roles, IT support",JKSSB Lab Assistant,Ed-tech services,"M.Sc, MCA",J&K Higher Education Department
KMR-003,IASE Srinagar (College of Education),Kashmir,Srinagar,Srinagar,34.084,74.797,,0194-2479807,gcoe.sgr@gmail.com,1965,Teacher Education,Yes,Yes,"B.Ed, M.Ed",2 years,Graduation with 50%,Merit-based,English/Hindi/Urdu,"Library, Education labs, Practice teaching",No,,Education resource library,Educational technology labs,Yes,"₹8,000-₹12,000","Private schools, coaching","JKSSB Teacher, Education Officer",Coaching institutes,"M.Ed, PhD Education",J&K Higher Education Department
KMR-004,Government Women College M.A. Road Srinagar,Kashmir,Srinagar,"MA Road, Srinagar",34.084,74.81,https://www.gcwmaroad.edu.in,0194-2478259,gcwmaroad@yahoo.in,1950,Women's College,Yes,Yes,"BA, B.Sc, B.Com, BCA",3 years,10+2 (Female only),Merit-based,English/Hindi,"Library, Labs, Computer labs, Sports",Yes,"₹10,000-₹20,000",Women's library,Science labs,Yes,"₹5,500-₹8,500","Admin, NGOs, corporate",JKSSB Teacher,Boutique/services,"MA, M.Sc, M.Com",J&K Higher Education Department
KMR-005,Government Women College Nawakadal Srinagar,Kashmir,Srinagar,"Nowhatta/Nowakadal, Srinagar",34.093,74.816,https://gcwnk.ac.in,0194-2503456,principal@gcwnk.ac.in,1961,Women's College,Yes,Yes,"BA, B.Sc, B.Com",3 years,10+2 (Female only),Merit-based,English/Hindi,"Library, Labs, Auditorium, Sports",Yes,"₹10,000-₹20,000",Department libraries,Basic labs,Yes,"₹5,000-₹8,000","Retail, teaching prep",JKSSB Teacher,Home services,"MA, M.Sc, B.Ed",J&K Higher Education Department
KMR-006,Government Degree College Bemina,Kashmir,Srinagar,"Bemina, Srinagar",34.095,74.773,,0194-2491715,gdcbemina@gmail.com,1985,General Degree,Yes,Yes,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Labs, Classrooms, Sports",No,,Central library,Science labs,Yes,"₹5,000-₹8,000","Retail, support roles",JKSSB,Coaching,"MA, M.Sc, M.Com",J&K Higher Education Department
KMR-007,Government Degree College Bagi Dilawar Khan,Kashmir,Srinagar,"Bagi Dilawar Khan, Srinagar",34.084,74.797,,0194-2470012,gdcbaghidilawarkhan@gmail.com,1990,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic labs, Classrooms",No,,Department library,Basic labs,Yes,"₹5,000-₹7,500",Local employment,JKSSB,Local services,"MA, M.Sc",J&K Higher Education Department
KMR-008,Srinagar Women's College,Kashmir,Srinagar,Srinagar,34.084,74.797,,0194-2311548,srinagarwomenscollege@gmail.com,1975,Women's College,Yes,Limited,"BA, B.Sc, B.Com",3 years,10+2 (Female only),Merit-based,English/Hindi/Urdu,"Library, Labs, Women facilities",Yes,"₹8,000-₹15,000",Women's library,Basic labs,Yes,"₹5,000-₹7,500",Women-oriented jobs,JKSSB Teacher,Women services,"MA, M.Sc",J&K Higher Education Department
KMR-009,Government Degree College Hyderpora,Kashmir,Srinagar,"Hyderpora, Srinagar",34.084,74.797,,,gdchyderpora@mail.com,2010,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Limited,"₹5,000-₹7,000",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
KMR-010,Government Degree College Allochibagh,Kashmir,Srinagar,"Allochibagh, Srinagar",34.084,74.797,,,allochibaghgdc@gmail.com,2015,General Degree,Yes,No,"BA, B.Sc, B.Com",3 years,"10+2, 45% minimum",Merit-based,English/Hindi/Urdu,"Library, Basic infrastructure",No,,Basic library,Basic labs,Limited,"₹5,000-₹7,000",Local employment,JKSSB,Local business,"MA, M.Sc",J&K Higher Education Department
